nickname,time_ago,rating,content_txt
Madelyn M,Dec 7,5,"Eternity is a genuine feel good movie. The concept is creative, the story is easy to follow, and it leaves you with a warm, satisfied feeling by the end. It’s the kind of film that’s enjoyable from start to finish and puts you in a good mood afterward. I really loved it."
Rebecca,Dec 7,5,A must watch movie!!
jasmineasali,Dec 7,5,"One of the best movies I watched this year and one of my new favorite rom-coms! I laughed, I cried, and I walked away from the movie feeling like the story ended perfectly. My husband and I had tons of fun going over the movie together on our way home from the theater. Although I felt like the third act was a little rushed, it went in a direction I wasn't expecting. Not to mention the movie is just beautiful and visually appealing! Just an all around good movie and I wouldn't be surprised if it became a classic rom-com!"
B G,Dec 7,4,Very entertaining and funny.  Kept me engaged the whole time.  A light unique way in looking at death as we know it today as a new positive way in looking at eternity.
John,Dec 7,5,I thought it had a good story line and it was entertaining throughout the whole movie
Dave G,Dec 7,3,Really slow and not the comedy I anticipated
Tiffany,Dec 7,5,This movie was a sleeper hit!  A modern day The Notebook!
Anel M,Dec 7,5,"An original idea with a big eye-opening story. Loved this movie, I'm usually extra picky with romantic comedies, but this one brought out some happy tears. You must watch with an open mind though. Very interesting and fun concept of what happens in the after-life. Definitely a must-watch."
Anthony A,Dec 7,4,Would’ve gave this movie 5 stars if it didn’t push homosexuality so hard. Every 5 minutes there’s some gay joke or gay person involved in the scene.
abby f,Dec 7,5,"Look, everyone’s a critic nowadays and I’m no exception. But I was brought to tears near the end of this movie because it just felt so beautiful from start to finish. The way movies can capture a feeling, a life, love… this movie reminds me why film is so important. It may not be everyone’s cup of tea but it brought tears to me and my partners eyes and made us feel so grateful for the life we have and are building. I’m very grateful to have experienced such a wonderful work of art."
Subhangi B,Dec 7,3,I liked the concept but there's a certain horror with the afterlife this movie presents and it's never addressed. Questions about the system linger in the back of your mind that stops you from being satisfied with the ending. I thought the movie would eventually tackle the horror of the system but it just brushed past it in service of the romance.
Mico N,Dec 7,4.5,"Sweet, charming and heartwarming, the ROMCOM OF THE YEAR with stellar performances from Miles Teller and Da'Vine Joy Randolph, with Elizabeth Olsen commanding every scene."
T L,Dec 7,5,This movie was comical as well as a heart felt drama. Love the originality of the film .
Nataliya O,Dec 7,5,Wow! Just wow! Really makes you think about your choices in life. Really makes you enjoy the moments in life that are not always guaranteed.
JoAnn C,Dec 7,0.5,We thought it was dumb and some of the audience that we met outside after the show agreed
Zach W,Dec 7,3.5,"Austin Film Festival Screening #6:

Though the premise is one that feels familiar, Eternity is the latest A24 film to succeed in delivering compelling characters of depth and an unapologetically emotional premise. Directed by David Freyne, Eternity builds a story around the concept of what happens to one’s soul after death. Constructing multiple romances that feel genuine, it’s actually the comedy of Eternity that left me impressed. Though the plot of the film is extremely simple, it’s the performances of Eternity that elevate this script and screenplay. 

Miles Teller, Elizabeth Olsen, and Callum Turner are a talented trio whose performances capture a charm and playfulness. While these three truly showcase their talent throughout Eternity, it’s the supporting performance from Da’Vine Joy Randolph that’s my favorite. From the film’s opening act, there is no secret to the direction that Eternity is heading. In fact, it’s the predictability of the film that makes it slightly less exciting or interesting. Of all the films I have seen at Austin Film Festival, Eternity is the definitely the most accessible and straightforward. 

Overall, Eternity doesn’t deliver too many surprises but the film never feels boring or repetitive. Elizabeth Olsen is genuinely so good in the role and her chemistry with Miles Teller and Callum Turner feels genuine. A fantastical glimpse into love, devotion, and commitment, Eternity delivers constant laughs from every character."
Tamara P,Dec 7,5,"We need more movies like this - original script, great acting (comedic and romantic) by the cast and thoughtful film for all ages. Lots of older couples in the theatre enjoying this film and ladies laughing and chatting all about how much fun the film was in the bathroom afterwards. Long live the Rom Com and feel good movies!"
Gregory,Dec 7,5,The movie was good and hilarious. The actors were brilliant. It’s worth seeing in theaters. 👍❤️😀
Kelly W,Dec 7,5,This was an original story and done so well. Another A24 winner!
Hong K,Dec 7,4.5,Quite possibly the best romantic love story Hollywood has ever told
Nancy K,Dec 7,4.5,Had no idea what this movie was about but my daughter wanted to see it and I’m glad went. We both enjoyed it and laughed a lot! It was an original story with many twists and funny moments but it was  also very touching.
J C,Dec 6,1,"Just awful. The main lead (who they pretend is super handsome) just isn't. He's absolutely weird looking and not at all the kind of young romantic lead that would be credible. The woman who is prominent (the chaperone) in the movie is humourless and we all know why she's in the movie. This is Hollywood at its worst. PC nonsense, not deep, not emotional just low brow to appeal to people you would want to spent time with. Avoid."
Angel R,Dec 6,4.5,"It’s funny, it’s sad and it was original. I love this film very much."
Shannon B,Dec 6,2.5,I sometimes wonder what people are thinking when I read amazing reviews and then see a mediocre movie. Its not that funny and its not that romantic. An ending you see coming the whole time.
Mike B,Dec 6,2,"Ok story, nice message, but pretty forgettable."
Bruce M,Dec 6,4,Very Disturbing at times. Great acting but kind of makes you look at your own Life and mistakes you feel tou may have made in that Life !!
Chase,Dec 6,5,If you're a hopeless romantic bring tissues you'll love it 😍
J,Dec 6,5,Worth the watch. I think it should have more show times for people to see it.
ROBERT G,Dec 6,1,"Slow and boring! We left the theater
after one hour. Huge disappointment.
Dont waste you money is this one!"
Grace,Dec 6,4.5,Such a great rom-com. Loved the old time feel. You may think you know how it ends but do you?
T J,Dec 6,5,This is a really enjoyable movie with an even happier ending!  Great story!
Guilherme M,Dec 6,5,"sincere, funny and beautiful. 10/10 romcom"
Tens,Dec 6,2.5,"Was kind of predictable , the ending gave me a little cringe . But each to their own."
Cory B,Dec 6,0.5,"This will sound harsh, but it is legitimately what happens in the movie. I’m really not exaggerating.

It tells men to be cucks and women that they can do whatever they want and there will not be consequences.

One of the worst movies I have ever seen. When looking for my future wife, I will ask women if they have seen this movie and what they thought. If they liked it, I will run the other way."
Diana F,Dec 6,3,At least it was an original idea. Didn’t really leave me warm and fuzzy but it didn’t leave me feeling empty either.
Trenten H,Dec 6,5,Beautiful story of love and regrets and second chances and how there truly is no one way to live life or love. A true must see for fans of beautiful and powerful love stories.
Larry,Dec 6,5,"Just an excellent movie.  Fun story with amusing visuals, well acted, and a not-too-predictable ending."
zackshack Z,Dec 6,4.5,"A nearly perfect movie.  This is a beautiful story about love, relationships, and the afterlife.  Larry and Joan are married for 65 years and pass away within a week of one another. Both find themselves in the afterlife at a stop-over while they make their decisions as to where they will spend their eternities. Enter Joan's first late husband, Luke, who died in the Korean War and had been waiting for Joan for 67 years. They're love triangle plays out as the men vote for her attention and choice.  Also onboard are their individual Afterlife Coordinators. Randolph, once again, shines here. Equally sweet and funny, it does slow down in the final act a little. Eternity, is one of the best movies of the year!"
Lisa,Dec 5,5,"This is a very good movie! Especially if you believe in the afterlife Very ingenious script and it really made you think at the end what would you do in the woman's situation? All in all very good, entertaining, fun at times and really kept my attention throughout the movie."
wheresmylarry,Dec 5,5,changed my entire understanding of love
Eric R,Dec 5,3,"David Freyne’s “Eternity” is a delightful and heartwarming film starring Miles Teller, Elizabeth Olsen, and Callum Turner, that presents an amusing narrative about a deceased woman at a post-life waystation who must choose between her two husbands.

In an afterlife where souls have a week to decide their eternal destination, Joan (Elizabeth Olsen) faces the impossible decision between her life partner (Miles Teller) and her first love (Callum Turner), who has waited decades for her arrival.

Despite feeling more like a play at times and a little predictable, this romantic comedy captivates with its creative and ever-evolving afterlife. The film remains light-hearted and humorous, yet deeply moving, encouraging viewers to find paradise in the present and cherish those we love.

Overall, “Eternity” is a beautifully crafted and entertaining world that unfolds parallel to a captivating love triangle story. Each character delivers a standout performance, particularly Elizabeth Olsen. It’s a delightful cinematic experience, with a good message. Despite feeling small, this is one of the purest and sweetest movies you’ll encounter this year. ⭐️⭐️⭐️

“The right person... would be right for any eternity!”

Larry"
ESTRELLA C,Dec 5,5,"It was so honest. I think we forget that people choose people. And its hard to be honest with yourself especially when thinking about an eternity, forever,  the one, the last choice youll ever make all on your own. I loved this movie. I havent seen a good rom-com in ages. This one felt good to watch and beautifully directed. The actors were hot, new/old faces. 10/10 for me!"
Kurt v,Dec 5,4.5,Well-acted and very original story. It was heart-warming and enjoyable.
Dale C,Dec 5,2,Sweet story. Good actors. A little on the cheesy side. The set decoration was high school quality. I guess they had a low budget
Michael,Dec 5,4,"Funny, a little too long, but well-acted and entertaining."
Mirza M,Dec 5,3.5,"'Eternity' is a sweeping afterlife romance that seamlessly blends comedy, imagination, emotion, and philosophy."
"Purugganan, A",Dec 5,5,"For many years of romcom films, Eternity did match the genre and theme of making an impact on its audience. It was worth the film to laugh and cry about. The authenticity of Elizabeth Olsen connecting with her character having a struggle of choosing the right decision shows the dilemma even in the afterlife. It shows that even in death, there's still a possibility of remembering, mesmerizing the life we could have, what we've been yearning for years. To feel, hope, and wait for the right choice that we can make for ourselves that will be part of others is the most beautiful part of being a human and I felt it while watching this masterpiece."
Aaron P,Dec 5,5,"For me, it's one of the best films made this year. I rarely watch rom-coms, but Eternity really moved me and made me think about the love we give to others and how others give it back to us. I don't know if I fully believe in the afterlife and if we really have to wait a week to choose our Eternity, but it's worth believing in, and if it truly exists, it literally reassures me."
Khoa N,Dec 5,3,Elizabeth Olsen overacts per usual. Neither man can act well enough to pretend to be attracted to her.
Glen,Dec 5,4.5,A really cute comedy. Perfect date night show.
Facebook U,Dec 5,3,Entertaining movie with heart. Did not like the way religion was portrayed.
Barbara M,Dec 5,5,"One of the sweetest story’s I’ve seen in forever.  With one impossible decision Elizabeth Olsen is a masterpiece. I laughed, and it all made you wonder."
juju,Dec 4,5,I loved it. Made me cry. Girls choose guys for long term marriages wisely. Yes guys could be sexy and tall but not every one would care about your needs.
David H,Dec 4,4,"This movie was pretty good, it’s unrealistic in the long run, but it’s fun. The entire scene with the pillows and squatting is pretty funny. It has a good feel to it as well, a happiness one."
Robert,Dec 4,4.5,A unique story about a love triangle
khoi P,Dec 4,4.5,"The movie was good, the concept of the movie is pretty cool. We were entertained the whole time."
Daja,Dec 4,5,Loved it! So funny and cute and really showed the stages of life
Aaron T,Dec 4,5,"Wow, this film exceeded my expectations. I was laughing, crying, and pondering. I loved the outcome of Joan’s decision. I would re-watch this over and over. Honestly if I could wipe my mind and watch it like new, I would."
Jay-D,Dec 4,5,"This movie was funny, charming, and kept me engaged the whole way through. I went in knowing nothing about it, and I was pleasantly surprised."
Meghan W,Dec 4,4.5,"Thought this would be an elevated RomCom, but was absolutely floored after watching this. The dialogue with my partner after the film lasted for hours. Phenomenal film!"
lena l,Dec 4,5,best romcom in a while
Caleb P,Dec 4,5,"Eternity gives you exactly want you want in a romantic comedy and then some more. Just when you think the movie is over, you are hit with a major third act. The intensity I felt through the film, especially towards the end, was unexpected but it gave it a little something special that other romantic comedies don’t have. Elizabeth Olsen gives my favorite performance of the year. Miles Teller and Callum Turner both deliver and show their chemistry with Olsen so well. Da’Vine and John Early had me laughing super hard."
Kyle,Dec 4,5,"Great exploration of ideas about the afterlife.  Made the characters seemed as if the best era of their youth was the 1950s and 1960s.  Makes you think about hard decisions, and the what if?

If you could have a do-over, would you want it for eternity?"
Spencer P,Dec 4,4,"A cute, thoughtful, and perfectly cast romcom set in a new vision of the afterlife, Eternity is a really good date night movie about thinking ahead in your love (after)life."
Vince Q,Dec 4,1.5,"Farcical comedy centered around the existential dilemma posed by a promise of eternal life with the partner you didn’t choose during your lifetime.   

Nostalgic and unfunny, this tired concept, tired script and tired acting hammers you for nearly two hours, as Miles Teller and Elizabeth Olsen are squandered in roles that smack of dusty 50’s situational comedy."
Al P,Dec 4,5,A lovely film and great story.   I'm glad films like Eternity are still being produced.    Highly recommend this heartwarming film.
Moises P,Dec 4,5,"I recently watched Eternity, and I was genuinely surprised by how much it stuck with me after the credits rolled. It’s one of those movies that starts off slow and subtle, but before you know it, you’re completely pulled into its world. The film balances emotion, mystery, and visual storytelling in a way that feels thoughtful rather than forced, and by the end, it felt like I had gone through an entire journey with the characters.

One of the strongest parts of Eternity is the atmosphere. The cinematography is beautiful—every frame feels intentional, with lighting and scenery that match the emotional tone of each scene. Whether it’s a quiet moment between characters or a dramatic turning point, the visuals always enhance what’s happening instead of distracting from it.

The acting was another highlight. Every character felt believable, and the performances had real depth. Even the smaller roles added something meaningful to the story. The lead actor especially stood out, bringing a mix of vulnerability, strength, and complexity that made the character feel truly human. You can tell the cast fully committed to their roles.

The story itself is emotional without being cheesy. It deals with themes like love"
ZacD,Dec 4,5,"a great film, tender and funny. the whole family loved it and would see it again."
michael p,Dec 4,3,Parts of the show were kind of slow and what was happening was not to exciting or interesting. I would have liked to see more of a widespread story line. Seemed to keep repeating the same basic relationship situations.
Dave P,Dec 4,3,Cute idea that fell flat at least for us.
Charjoyful,Dec 3,5,"This moving was really good.  It dealt with how one makes long lasting decisions . The dialog was entertaining and smart.   I awoke the next morning thinking about it.  How could the plot been played out differently.  How I could relate to the women in making her choices.  I and people next to me in the theater were somewhat confused at the ending.  But then maybe that is what the writer wanted.  For use to think about it.   Anyway, Trever, you put together a great creative movie."
Praveen,Dec 3,4,"I loved the movie. It is a good humorous, romantic drama, with some interesting concepts of how after life could be. The movie also offers some good and meaningful dialogues."
Bob,Dec 3,5,Really an original idea. Well made.  Light hearted comedy with deep thought and emotion.
Bernard D,Dec 3,4.5,My wife and both really enjoyed this movie (we typically have very different tastes).  A really unique take on an afterlife plot with a but of rom com thrown in for good measure.  Cast is also excellent.
Chris G,Dec 3,5,LOVED IT… cried and laughed
Trevor D,Dec 3,4.5,Very unique rom-com. Great performances and some very impressive writing for a under the radar film. Love how A24 let's film-makers make their movies and they don't shove studio junk down their throats.
Steven E,Dec 3,4,Touching story about the different paths life can take you down.
Heejeong K,Dec 3,5,"""Sometimes doing the right thing feels terrible."""
Charles R,Dec 3,5,I really liked it! Story was good and was very satisfied with ending 🙌🏻definitely recommend especially if you watch with your partner 😃
Paulina,Dec 3,5,I found my new favorite movie 3
Tyler C,Dec 3,5,"Absolutely loved it. What a thinker. You cannot walk out without your mind just going over all of the implications of each plot choice, and then applying the “what if” scenarios to yourself. Plus it had a lot of laugh out loud lines!"
